date,campaign,channel,impressions,clicks,signups,sales,spend
2024-01-01,brand_awareness_q1,paid_search,58896,2146,148,28,1085.2
2024-01-01,brand_awareness_q1,paid_social,111615,2324,87,12,957.3
2024-01-01,brand_awareness_q1,display,194099,972,20,1,788.03
2024-01-01,brand_awareness_q1,email,35808,699,88,38,68.08
2024-01-01,brand_awareness_q1,video,154295,1332,48,4,1936.19
2024-01-02,brand_awareness_q1,paid_search,53845,2028,122,38,979.26
2024-01-02,brand_awareness_q1,paid_social,115947,2278,116,23,1030.85
2024-01-02,brand_awareness_q1,display,215645,1220,39,5,869.25
2024-01-02,brand_awareness_q1,email,37560,676,67,19,71.96
2024-01-02,brand_awareness_q1,video,130206,875,30,3,1541.35
2024-01-03,brand_awareness_q1,paid_search,54509,2167,149,50,995.69
2024-01-03,brand_awareness_q1,paid_social,109828,1716,97,10,976.54
2024-01-03,brand_awareness_q1,display,243929,1287,39,4,1009.17
2024-01-03,brand_awareness_q1,email,38384,752,64,19,74.98
2024-01-03,brand_awareness_q1,video,129501,1219,59,6,1578.17
2024-01-04,brand_awareness_q1,paid_search,55043,2887,225,45,965.67
2024-01-04,brand_awareness_q1,paid_social,108503,1767,92,18,966.7
2024-01-04,brand_awareness_q1,display,195140,1169,35,2,745.21
2024-01-04,brand_awareness_q1,email,31355,724,102,33,59.97
2024-01-04,brand_awareness_q1,video,137010,1313,53,8,1703.44
2024-01-05,brand_awareness_q1,paid_search,48589,2379,211,54,854.21
2024-01-05,brand_awareness_q1,paid_social,111263,1691,81,11,1046.81
2024-01-05,brand_awareness_q1,display,237571,1075,32,2,989.5
2024-01-05,brand_awareness_q1,email,39538,799,103,39,76.33
2024-01-05,brand_awareness_q1,video,153541,1247,58,7,1750.47
2024-01-06,brand_awareness_q1,paid_search,40530,1473,148,48,753.74
2024-01-06,brand_awareness_q1,paid_social,115911,1717,105,21,999.97
2024-01-06,brand_awareness_q1,display,159779,661,22,2,615.37
2024-01-06,brand_awareness_q1,email,35392,794,81,36,70.24
2024-01-06,brand_awareness_q1,video,130294,1058,48,4,1534.09
2024-01-07,brand_awareness_q1,paid_search,49250,2349,180,45,852.9
2024-01-07,brand_awareness_q1,paid_social,113100,1903,100,11,989.42
2024-01-07,brand_awareness_q1,display,140107,737,18,2,580.58
2024-01-07,brand_awareness_q1,email,31133,613,81,21,59.98
2024-01-07,brand_awareness_q1,video,161611,1329,52,7,1998.97
2024-01-08,brand_awareness_q1,paid_search,51983,1962,150,35,932.61
2024-01-08,brand_awareness_q1,paid_social,114832,2210,142,14,1023.42
2024-01-08,brand_awareness_q1,display,204536,1170,29,2,813.94
2024-01-08,brand_awareness_q1,email,34976,701,71,33,69.55
2024-01-08,brand_awareness_q1,video,158794,1295,37,6,1969.56
2024-01-09,brand_awareness_q1,paid_search,65525,3451,333,61,1177.76
2024-01-09,brand_awareness_q1,paid_social,98457,1702,62,8,929.12
2024-01-09,brand_awareness_q1,display,200239,1114,32,3,837.59
2024-01-09,brand_awareness_q1,email,41238,927,125,31,80.8
2024-01-09,brand_awareness_q1,video,163801,1351,55,7,1878.57
2024-01-10,brand_awareness_q1,paid_search,59042,2659,257,46,1111.73
2024-01-10,brand_awareness_q1,paid_social,94375,1485,78,13,826.88
2024-01-10,brand_awareness_q1,display,191328,1105,28,3,774.45
2024-01-10,brand_awareness_q1,email,35120,798,97,45,68.16
2024-01-10,brand_awareness_q1,video,153307,1098,41,5,1802.89
2024-01-11,brand_awareness_q1,paid_search,54554,2702,160,38,1030.92
2024-01-11,brand_awareness_q1,paid_social,124372,1856,76,9,1167.84
2024-01-11,brand_awareness_q1,display,241260,1389,38,2,997.25
2024-01-11,brand_awareness_q1,email,38290,880,136,53,72.81
2024-01-11,brand_awareness_q1,video,158079,1163,51,8,1827.57
2024-01-12,brand_awareness_q1,paid_search,51217,1942,160,32,931.57
2024-01-12,brand_awareness_q1,paid_social,115643,1834,99,12,1039.59
2024-01-12,brand_awareness_q1,display,243513,1386,31,2,952.3
2024-01-12,brand_awareness_q1,email,30796,750,97,27,63.08
2024-01-12,brand_awareness_q1,video,146985,1141,32,2,1831.39
2024-01-13,brand_awareness_q1,paid_search,48822,2237,214,57,847.87
2024-01-13,brand_awareness_q1,paid_social,111201,1848,114,21,1036.91
