date,campaign,channel,impressions,clicks,signups,sales,spend
2024-01-01,BrandAwarenessQ1,Paid Search,58896,2146,148,28,1085.201655760118
2024-01-01,brand_awareness_q1,paid_social,2324,111615,87.00,12,957.3
2024-01-01,brand_awareness_q1,display,194099,972,20.00,1,788.03
2024-01-01,Brand Awareness Q1,EMAIL,35808,699,88,38,68.08
2024-01-01,brand_awareness_q1,video,1332,154295,48,4,1936.19
2024-01-02,brand_awareness_q1,paid_search,53845,2028,122,38,979.2599911920233
2024-01-02,brand_awareness_q1,paid_social,115947,2278,116,23,1030.85
2024-01-02,brand-awareness-q1,DISPLAY,215645,1220,39,5,869.25
2024-01-02,brand_awareness_q1,email,37560,676,67,19,71.95998362456434
2024-01-02,brand_awareness_q1,Video Ads,130206,875,30,3,1541.35
2024-01-03,brand_awareness_q1,paid_search,54509,2167,149,50,995.69
2024-01-03,brand_awareness_q1,paid_social,109828,1716,97.00,10,976.54
2024-01-03,brand_awareness_q1,display,243929,1287,39,4,1009.17
2024-01-03,brand-awareness-q1,email,38384,752,64,19,74.98
2024-01-03,Brand Awareness Q1,video_ads,129501,1219,59,6,1578.17
2024-01-04,brand_awareness_q1,search_paid,55043,2887,225,45,965.67
2024-01-04,brand_awareness_q1,paid_social,108503,1767,92,18,966.7
2024-01-04,BrandAwarenessQ1,DISPLAY,195140,1169,35,2,745.21
2024-01-04,brand-awareness-q1,email,31355,724,102,33,59.97
2024-01-04,brand_awareness_q1,Video Ads,137010,1313,53,8,1703.44
2024-01-05,brand_awareness_q1,paid_search,48589,2379,211,54,854.21
2024-01-05,brand_awareness_q1,Social Paid,111263,1691,81.00,11,1046.8100002014544
2024-01-05,brand_awareness_q1,display_ads,1075,237571,32,2,989.4994159053656
2024-01-05,brand_awareness_q1,email,39538,799,103,39,76.33069787385297
2024-01-05,brand_awareness_q1,video_ads,153541,1247,58,7,1750.47
2024-01-06,BrandAwarenessQ1,paid-search,40530,1473,148,48,753.74
2024-01-06,brand-awareness-q1,paid_social,115911,1717,105,21,999.97
2024-01-06,brand_awareness_q1,display_ads,159779,661,22,2,615.37
2024-01-06,brand_awareness_q1,EMAIL,35392,794,81,36,70.24
2024-01-06,Brand Awareness Q1,video,130294,1058,48,4,1534.09
2024-01-07,brand_awareness_q1,paid_search,2349,49250,180,45,852.9
2024-01-07,Brand Awareness Q1,paid_social,113100,1903,100,11,989.42
2024-01-07,brand_awareness_q1,display,140107,737,18,2,580.58
2024-01-07,BrandAwarenessQ1,email,31133,613,81,21,59.979997770714874
2024-01-07,brand_awareness_q1,video,1329,161611,52,7,1998.97
2024-01-08,brand_awareness_q1,paid_search,51983,1962,150,35,932.61
2024-01-08,brand_awareness_q1,social,2210,114832,142,14,1023.420653020957
2024-01-08,Brand Awareness Q1,display,204536,1170,29,2,813.94
2024-01-08,Brand Awareness Q1,email,701,34976,71,33,69.55
2024-01-08,brand_awareness_q1,video,158794,1295,37,6,1969.56
2024-01-09,brand_awareness_q1,paid-search,65525,3451,333,61,1177.76
