day,campaign,channel,partner,ad,impr,clicks,spend,engagement,sales,revenue
2024-01-01,New Year Push,Paid Search,Google,Fresh Start,37758,1439,811.99,390,101,12549.77
2024-01-01,New Year Push,Paid Search,Google,Countdown Offer,39974,1565,872.56,366,80,9455.17
2024-01-01,New Year Push,Paid Search,Google,Resolution Ready,32384,1328,723.13,397,68,8238.88
2024-01-01,New Year Push,Paid Search,Bing,Fresh Start,11070,418,250.99,146,23,2433.49
2024-01-01,New Year Push,Paid Search,Bing,Countdown Offer,11435,495,241.32,109,37,4501.86
2024-01-01,New Year Push,Paid Search,Bing,Resolution Ready,11064,551,244.29,164,31,3715.11
2024-01-01,New Year Push,Paid Social,Facebook,Fresh Start,50727,952,525.62,2002,27,1912.34
2024-01-01,New Year Push,Paid Social,Facebook,Countdown Offer,43940,730,420.94,1446,14,1071.53
2024-01-01,New Year Push,Paid Social,Facebook,Resolution Ready,48541,831,479.11,1576,18,1669.35
2024-01-01,New Year Push,Paid Social,Instagram,Fresh Start,33468,626,323.67,1417,12,948.42
2024-01-01,New Year Push,Paid Social,Instagram,Countdown Offer,36117,682,363.23,1499,21,1864.58
2024-01-01,New Year Push,Paid Social,Instagram,Resolution Ready,30218,452,296.6,1014,9,836.06
2024-01-01,New Year Push,Paid Social,TikTok,Fresh Start,20289,340,206.04,730,11,890.87
2024-01-01,New Year Push,Paid Social,TikTok,Countdown Offer,17558,287,176.66,588,7,642.51
2024-01-01,New Year Push,Paid Social,TikTok,Resolution Ready,18159,293,190.62,693,5,354.3
2024-01-01,New Year Push,Display,Google Display Network,Fresh Start,114853,600,472.83,551,5,347.21
2024-01-01,New Year Push,Display,Google Display Network,Countdown Offer,141814,716,593.98,836,6,460.61
2024-01-01,New Year Push,Display,Google Display Network,Resolution Ready,132251,670,516.67,707,6,423.55
2024-01-01,New Year Push,Display,The Trade Desk,Fresh Start,76807,446,318.78,338,5,325.29
2024-01-01,New Year Push,Display,The Trade Desk,Countdown Offer,85362,483,334.57,456,6,387.01
2024-01-01,New Year Push,Display,The Trade Desk,Resolution Ready,82563,418,339.45,419,3,204.61
2024-01-01,New Year Push,Email,Mailchimp,Fresh Start,15746,3817,24.51,1505,141,11740.82
2024-01-01,New Year Push,Email,Mailchimp,Countdown Offer,19414,4732,27.91,1580,147,15215.29
2024-01-01,New Year Push,Email,Mailchimp,Resolution Ready,18935,3444,28.33,1591,124,13234.03
2024-01-01,New Year Push,Email,Klaviyo,Fresh Start,14294,2690,21.53,1306,92,8333.12
2024-01-01,New Year Push,Email,Klaviyo,Countdown Offer,16293,3606,24.29,1347,117,10304.34
2024-01-01,New Year Push,Email,Klaviyo,Resolution Ready,13997,3032,20.43,987,94,9378.92
2024-01-01,New Year Push,Video,YouTube,Fresh Start,90572,830,1688.93,18140,11,1178.88
2024-01-01,New Year Push,Video,YouTube,Countdown Offer,90231,626,1694.89,23826,9,996.38
2024-01-01,New Year Push,Video,YouTube,Resolution Ready,104024,739,1796.96,25611,11,1110.9
2024-01-01,New Year Push,Video,Connected TV,Fresh Start,55031,467,1038.52,11215,7,679.58
2024-01-01,New Year Push,Video,Connected TV,Countdown Offer,56691,412,988.83,14084,6,571.34
2024-01-01,New Year Push,Video,Connected TV,Resolution Ready,49031,452,877.54,14761,7,617.74
2024-01-01,Brand Awareness,Paid Search,Google,Hero Brand,40913,2109,942.3,595,158,16777.61
2024-01-01,Brand Awareness,Paid Search,Google,Our Story,36409,1502,793.07,340,86,11625.47
2024-01-01,Brand Awareness,Paid Search,Google,Why Choose Us,34476,1748,755.06,397,138,18704.24
2024-01-01,Brand Awareness,Paid Search,Bing,Hero Brand,10442,518,221.79,112,41,4952.92
2024-01-01,Brand Awareness,Paid Search,Bing,Our Story,10409,521,218.86,130,32,4175.56
2024-01-01,Brand Awareness,Paid Search,Bing,Why Choose Us,9457,507,199.32,95,33,4098.68
2024-01-01,Brand Awareness,Paid Social,Facebook,Hero Brand,44023,683,457.41,1460,18,1528.86
2024-01-01,Brand Awareness,Paid Social,Facebook,Our Story,46099,854,462.04,2132,18,1571.73
2024-01-01,Brand Awareness,Paid Social,Facebook,Why Choose Us,44062,763,448.19,1506,17,1499.33
2024-01-01,Brand Awareness,Paid Social,Instagram,Hero Brand,29004,514,304.5,1375,9,674.49
2024-01-01,Brand Awareness,Paid Social,Instagram,Our Story,30498,634,316.6,1378,15,1103.71
2024-01-01,Brand Awareness,Paid Social,Instagram,Why Choose Us,34908,674,352.98,1649,19,1327.96
2024-01-01,Brand Awareness,Paid Social,TikTok,Hero Brand,20024,334,203.51,927,6,435.24
2024-01-01,Brand Awareness,Paid Social,TikTok,Our Story,16853,309,164.69,673,9,672.38
2024-01-01,Brand Awareness,Paid Social,TikTok,Why Choose Us,19208,316,191.86,877,9,647.73
2024-01-01,Brand Awareness,Display,Google Display Network,Hero Brand,124400,571,472.9,706,7,468.01
2024-01-01,Brand Awareness,Display,Google Display Network,Our Story,134062,682,532.37,505,6,481.65
2024-01-01,Brand Awareness,Display,Google Display Network,Why Choose Us,139010,706,574.64,723,6,383.72
2024-01-01,Brand Awareness,Display,The Trade Desk,Hero Brand,74096,423,305.16,437,6,394.43
2024-01-01,Brand Awareness,Display,The Trade Desk,Our Story,73001,312,300.18,435,3,223.82
2024-01-01,Brand Awareness,Display,The Trade Desk,Why Choose Us,71230,411,295.31,440,5,401.19
2024-01-01,Brand Awareness,Email,Mailchimp,Hero Brand,15769,3593,23.26,1571,178,18954.34
2024-01-01,Brand Awareness,Email,Mailchimp,Our Story,19126,3679,29.51,1261,189,20095.89
2024-01-01,Brand Awareness,Email,Mailchimp,Why Choose Us,16613,3886,24.82,1229,192,16925.71
2024-01-01,Brand Awareness,Email,Klaviyo,Hero Brand,12898,2409,19.01,1250,129,11563.41
2024-01-01,Brand Awareness,Email,Klaviyo,Our Story,15057,3047,23.67,1257,161,13672.42
2024-01-01,Brand Awareness,Email,Klaviyo,Why Choose Us,16207,3009,25.43,1173,96,9035.08
2024-01-01,Brand Awareness,Video,YouTube,Hero Brand,102188,762,1858.92,26206,11,1147.78
2024-01-01,Brand Awareness,Video,YouTube,Our Story,91172,784,1559.32,28195,12,1304.57
2024-01-01,Brand Awareness,Video,YouTube,Why Choose Us,102500,870,1819.95,20517,15,1452.06
2024-01-01,Brand Awareness,Video,Connected TV,Hero Brand,49833,448,916.71,11438,6,595.18
2024-01-01,Brand Awareness,Video,Connected TV,Our Story,50941,377,882.76,12473,7,751.98
2024-01-01,Brand Awareness,Video,Connected TV,Why Choose Us,57206,476,1009.21,14937,5,477.4
2024-01-02,New Year Push,Paid Search,Google,Fresh Start,35990,1703,804.03,424,101,10894.37
2024-01-02,New Year Push,Paid Search,Google,Countdown Offer,36370,1914,823.83,364,89,10550.68
2024-01-02,New Year Push,Paid Search,Google,Resolution Ready,37774,1634,857.49,510,111,12016.0
2024-01-02,New Year Push,Paid Search,Bing,Fresh Start,9579,365,205.36,113,27,2777.71
2024-01-02,New Year Push,Paid Search,Bing,Countdown Offer,10112,486,215.67,133,30,3268.11
2024-01-02,New Year Push,Paid Search,Bing,Resolution Ready,10711,405,241.56,145,19,2191.65
2024-01-02,New Year Push,Paid Social,Facebook,Fresh Start,43438,910,435.16,1279,20,1811.38
2024-01-02,New Year Push,Paid Social,Facebook,Countdown Offer,46609,929,473.9,2203,25,2326.77
2024-01-02,New Year Push,Paid Social,Facebook,Resolution Ready,51526,965,526.56,1962,30,2495.33
2024-01-02,New Year Push,Paid Social,Instagram,Fresh Start,35469,694,353.79,1185,15,1280.8
2024-01-02,New Year Push,Paid Social,Instagram,Countdown Offer,34448,624,348.85,1161,12,920.75
2024-01-02,New Year Push,Paid Social,Instagram,Resolution Ready,30608,515,307.31,952,11,954.48
2024-01-02,New Year Push,Paid Social,TikTok,Fresh Start,19568,296,193.87,759,7,523.52
2024-01-02,New Year Push,Paid Social,TikTok,Countdown Offer,18287,377,184.41,762,11,973.87
2024-01-02,New Year Push,Paid Social,TikTok,Resolution Ready,18109,267,178.41,775,8,745.24
2024-01-02,New Year Push,Display,Google Display Network,Fresh Start,124502,677,500.31,654,6,395.64
2024-01-02,New Year Push,Display,Google Display Network,Countdown Offer,125015,519,491.87,681,5,323.82
2024-01-02,New Year Push,Display,Google Display Network,Resolution Ready,125976,545,510.06,480,6,440.35
2024-01-02,New Year Push,Display,The Trade Desk,Fresh Start,68988,362,265.9,338,3,208.17
2024-01-02,New Year Push,Display,The Trade Desk,Countdown Offer,72435,339,297.31,340,4,316.68
2024-01-02,New Year Push,Display,The Trade Desk,Resolution Ready,73193,310,278.7,373,4,275.04
2024-01-02,New Year Push,Email,Mailchimp,Fresh Start,18476,4272,28.13,1707,227,19826.54
2024-01-02,New Year Push,Email,Mailchimp,Countdown Offer,15781,2899,22.79,1403,126,11072.55
2024-01-02,New Year Push,Email,Mailchimp,Resolution Ready,18687,4301,27.1,1614,207,17574.0
2024-01-02,New Year Push,Email,Klaviyo,Fresh Start,15709,3850,22.64,982,143,14458.39
2024-01-02,New Year Push,Email,Klaviyo,Countdown Offer,16195,3274,24.81,1046,153,15248.68
2024-01-02,New Year Push,Email,Klaviyo,Resolution Ready,13197,3043,20.49,1136,98,10773.6
2024-01-02,New Year Push,Video,YouTube,Fresh Start,103646,783,1852.27,24719,12,1165.7
2024-01-02,New Year Push,Video,YouTube,Countdown Offer,105205,939,1818.99,33008,16,1792.94
2024-01-02,New Year Push,Video,YouTube,Resolution Ready,101891,796,1876.92,32029,10,1114.31
2024-01-02,New Year Push,Video,Connected TV,Fresh Start,52743,419,943.26,15003,5,563.81
2024-01-02,New Year Push,Video,Connected TV,Countdown Offer,56412,384,1054.17,12542,6,632.26
2024-01-02,New Year Push,Video,Connected TV,Resolution Ready,50746,337,945.49,10881,4,444.45
2024-01-02,Brand Awareness,Paid Search,Google,Hero Brand,35203,1841,790.05,375,80,10708.91
2024-01-02,Brand Awareness,Paid Search,Google,Our Story,32965,1636,724.4,446,113,13917.64
2024-01-02,Brand Awareness,Paid Search,Google,Why Choose Us,36525,1857,770.85,377,128,14225.88
2024-01-02,Brand Awareness,Paid Search,Bing,Hero Brand,10526,479,232.29,121,34,3808.34
